target,text
0,"Insurance Agent ya Contract Killer? Janiye Bob Biswas ka asli sach ZEEPLEX par 9baje. Rs99 me show book karein,DishTV RMN se 18003157208 pe MissedCall dein TnC"
0,"50% ALERT: for your daily Data usage. Recharge with 118 get 12GB, validity as per the current pack. Click i.airtel.in/Rcharge"
0,"Dear Gaana User, purchase of your subscription worth Rs.1.00 is complete.Your subscription will renew ¡Rs.399.00 on 15 Jul 2022 .More details here:www.gaana.com/myzone"
0,"Balance for Jio Number 9834812916: 1) Rs 299-1M-2GB/D Plan: 
Data: 1.83 GB out of 2.00 GB/day
SMS: 100 out of 100/day
Plan expiry: 10 Feb 2022, 12:06 PM
2) Top-Up Balance: Rs.4.65 For more details, click https://www.jio.com/dl/dashboard_home
For anything related to Jio, use HelloJio - your 24X7 virtual assistant.
Click https://www.jio.com/ask_jio"
0,"Balance for Jio Number 9834812916: 1) Rs 299-1M-2GB/D Plan: 
Data: 1.79 GB out of 2.00 GB/day
SMS: 100 out of 100/day
Plan expiry: 10 Feb 2022, 12:06 PM
2) Top-Up Balance: Rs.4.65 For more details, click https://www.jio.com/dl/dashboard_home
For anything related to Jio, use HelloJio - your 24X7 virtual assistant.
Click https://www.jio.com/ask_jio"
0,"ANGEL BROKING at EOD 04/12/2021 reported your Fund bal Rs 0.000 & Securities bal 0. This excludes your Bank, DP and PMS bal with the broker-BSE"
0,"Balance for Jio Number 9834812916: 1) Rs 299-1M-2GB/D Plan: 
Data: 82.45 MB out of 2.00 GB/day
SMS: 100 out of 100/day
Plan expiry: 10 Feb 2022, 12:06 PM
2) Top-Up Balance: Rs.4.65 For more details, click https://www.jio.com/dl/dashboard_home
For anything related to Jio, use HelloJio - your 24X7 virtual assistant.
Click https://www.jio.com/ask_jio"
0,"Balance for Jio Number 9834812916: 1) Rs 299-1M-2GB/D Plan: 
Data: 1.22 GB out of 2.00 GB/day
SMS: 100 out of 100/day
Plan expiry: 10 Feb 2022, 12:06 PM
2) Top-Up Balance: Rs.4.65 For more details, click https://www.jio.com/dl/dashboard_home
For anything related to Jio, use HelloJio - your 24X7 virtual assistant.
Click https://www.jio.com/ask_jio"
0,"100% of daily 2 GB data quota exhausted as on 18-Jan-22 00:04.
Jio Number : 9834812916 
Daily high speed data quota will be restored on 18-Jan-22 00:36.
Now you can continue enjoying high speed data by taking an EMERGENCY DATA LOAN and pay later.You can borrow upto 5 GB in form of data vouchers worth Rs. 15 per GB . 
To get EMERGENCY DATA LOAN, click https://www.jio.com/dl/data_loan
(Not applicable on JioPhone).T&C apply 
To know where you have consumed your data quota, click http://tiny1.jio.com/HelpfulTips"
0,"Exclusive offer for you! Sign-Up for Flipkart Pay Later today & get Rs.100 Gift card*. Shop during SALE & pay later. 

Hurry up!
http://fkrt.it/yA_gVFNNNN"
